Cell_Current,Cell_Voltage
0.140594463,0.644144207
0.140594463,0.643904834
0.148047231,0.643186716
1.138100977,0.577030052
1.65467101,0.545732056
1.567333876,0.548754138
1.626956026,0.545283232
1.767627036,0.534122474
1.985620521,0.513745862
2.185680782,0.493099956
2.363382736,0.472663502
2.52454886,0.451808145
2.665452769,0.43044412
2.784697068,0.409618685
2.885542345,0.388404268
2.974276873,0.367369382
3.05369544,0.345706141
3.121003257,0.323055488
3.175967427,0.298370166
3.220218241,0.273295862
3.251892508,0.249059364
3.27285342,0.224822866
3.293581433,0.200855662
3.309185668,0.177127831
3.322693811,0.153280314
3.334105863,0.129552483
3.336667752,0.106153789
3.333640065,0.083383449
3.328516287,0.060553267
3.326653094,0.037992378
3.327584691,0.001877003
3.332708469,-0.023047692
3.337599349,-0.036003746
3.340161238,-0.049917291
3.33713355,-0.069605706
3.33014658,-0.089264199
3.325721498,-0.10871324
3.325721498,-0.127354399
3.321762215,-0.14081912
3.309185668,-0.149376699
3.287758958,-0.15518149
3.261208469,-0.158592552
3.230232899,-0.160387848
3.20135342,-0.160447692
3.182022801,-0.156348432
3.165486971,-0.147701089
